principalInvestigator,country,locality,Bsal_area,yearCollected,decimalLatitude,decimalLongitude,materialSampleID,basisOfRecord,genus,specificEpithet,sampleType,testMethod,diseaseTested,BdDetected,BsalDetected,BdLoad,BsalLoad,fatal,monthCollected,dayCollected,quantityDetected,dilutionFactor,cycleTimeFirstDetection,diagnosticLab,continentOcean,stateProvince,municipality,county,locationRemarks,verbatimEventDate,horizontalDatum,coordinateUncertaintyInMeters,georeferenceProtocol,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,locationID,habitat,eventRemarks,collectorList,occurrenceID,institutionCode,collectionCode,catalogNumber,otherCatalogNumbers,fieldNumber,infraspecificEpithet,taxonRemarks,lifeStage,establishmentMeans,sex,associatedReferences,occurrenceRemarks,individualCount,weightUnits,weight,lengthUnits,length,organismRemarks,diseaseLineage,geFALSEtypeMethod,diseaseTestedPositiveCount,specimenDisposition,zeScore,measurementRemarks,tissueID,tissueType,tissuePlate,tissueWell,tissueCatalogNumber,tissueBarcode,tissueInstitution,tissueOtherCatalogNumbers,tissueSamplingYear,tissueSamplingMonth,tissueSamplingDay,tissueRecordedBy,tissueContainer,tissuePreservative,associatedSequences,tissueRemarks,fromTissue,tissueBlocked,biosampleAccession,DiagFALSEstics_bcid,Sample_bcid,expeditionCode,projectId
Bsal Consortium Germany,Germany,Irrel,,2019,49.856404,6.448138,BsalGer5603 - IR-2019-21,LivingSpecimen,Rana,temporaria,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,6,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel,,2019,49.856404,6.448138,BsalGer5604 - IR-2019-22,LivingSpecimen,Rana,temporaria,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,6,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel,,2019,49.856404,6.448138,BsalGer5605 - IR-2019-23,LivingSpecimen,Rana,temporaria,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,6,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel,,2019,49.856404,6.448138,BsalGer5606 - IR-2019-24,LivingSpecimen,Rana,temporaria,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,6,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel,,2019,49.856404,6.448138,BsalGer5607 - IR-2019-25,LivingSpecimen,Rana,temporaria,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,6,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel,,2019,49.856404,6.448138,BsalGer5608 - IR-2019-26,LivingSpecimen,Rana,temporaria,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,6,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel,,2019,49.856404,6.448138,BsalGer5609 - IR-2019-27,LivingSpecimen,Rana,temporaria,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,6,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel,,2019,49.856404,6.448138,BsalGer5610 - IR-2019-28,LivingSpecimen,Rana,temporaria,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,6,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,female,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel,,2019,49.856404,6.448138,BsalGer5611 - IR-2019-29,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,6,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,female,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel,,2019,49.856404,6.448138,BsalGer5612 - IR-2019-30,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,6,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,female,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel,,2019,49.856404,6.448138,BsalGer5613 - IR-2019-31,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,6,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,female,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel,,2019,49.856404,6.448138,BsalGer5614 - IR-2019-32,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,6,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,female,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel,,2019,49.856404,6.448138,BsalGer5615 - IR-2019-33,LivingSpecimen,Rana,temporaria,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,6,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel,,2019,49.856404,6.448138,BsalGer5616 - IR-2019-34,LivingSpecimen,Rana,temporaria,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,6,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel,,2019,49.856404,6.448138,BsalGer5617 - IR-2019-36,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,7,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,female,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel,,2019,49.856404,6.448138,BsalGer5618 - IR-2019-35,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,7,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,female,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel,,2019,49.856404,6.448138,BsalGer5619 - IR-2019-37,LivingSpecimen,Rana,temporaria,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,7,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel,,2019,49.856404,6.448138,BsalGer5620 - IR-2019-38,LivingSpecimen,Rana,temporaria,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,7,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel,,2019,49.856404,6.448138,BsalGer5621 - IR-2019-39,LivingSpecimen,Rana,temporaria,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,7,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel,,2019,49.856404,6.448138,BsalGer5622 - IR-2019-40,LivingSpecimen,Rana,temporaria,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,7,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel,,2019,49.856404,6.448138,BsalGer5623 - IR-2019-41,LivingSpecimen,Rana,temporaria,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,7,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel,,2019,49.856404,6.448138,BsalGer5624 - IR-2019-42,LivingSpecimen,Rana,temporaria,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,7,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel,,2017,49.856404,6.448138,BsalGer0567 - M001,LivingSpecimen,Lissotriton,helveticus,swabbing,quantitive PCR,Bsal,,,,,,3,29,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,female,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel ,,2016,49.856405,6.448139,BsalGer2629 - 43,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,28,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel ,,2016,49.856406,6.44814,BsalGer2630 - 44,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,28,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel ,,2016,49.856407,6.448141,BsalGer2631 - 45,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,28,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel ,,2016,49.856408,6.448142,BsalGer2632 - 46,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,28,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel ,,2016,49.856409,6.448143,BsalGer2633 - 47,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,28,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel ,,2016,49.85641,6.448144,BsalGer2634 - 48,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,28,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel ,,2016,49.856411,6.448145,BsalGer2635 - 49,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,28,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel ,,2016,49.856412,6.448146,BsalGer2636 - 50,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,28,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel ,,2016,49.856413,6.448147,BsalGer2637 - 51,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,28,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel ,,2016,49.856414,6.448148,BsalGer2638 - 52,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,28,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel ,,2016,49.856415,6.448149,BsalGer2639 - 53,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,28,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel ,,2016,49.856416,6.44815,BsalGer2640 - 54,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,28,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel ,,2016,49.856417,6.448151,BsalGer2641 - 55,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,28,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel ,,2016,49.856418,6.448152,BsalGer2642 - 56,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,28,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Irrel ,,2016,49.856419,6.448153,BsalGer2643 - 57,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,3,28,,,,Universities Trier and Braunschweig,,,,,,,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,NA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Steigerwald,TRUE,2020,49.864623,10.488179,BsalGer6801 - 12811/12801,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,6,10,,,,Universities Trier and Braunschweig,,,,,"Ss, Ia, Lv, Tc",,,100,,,,,,,,mainly Ss,Bsal Consortium Germany,,,,,,,,,,,female,Thein et al. 2020; Böning et al. 2023,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Steigerwald,TRUE,2020,49.864623,10.488179,BsalGer6804 - 12711/12712,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,6,28,,,,Universities Trier and Braunschweig,,,,,"Ss, Ia, Lv, Tc",,,100,,,,,,,,mainly Ss,Bsal Consortium Germany,,,,,,,,,,,female,Thein et al. 2020; Böning et al. 2023,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Steigerwald,TRUE,2020,49.864623,10.488179,BsalGer6807 - 12851/12841,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,6,14,,,,Universities Trier and Braunschweig,,,,,"Ss, Ia, Lv, Tc",,,100,,,,,,,,mainly Ss,Bsal Consortium Germany,,,,,,,,,,,female,Thein et al. 2020; Böning et al. 2023,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Steigerwald,TRUE,2020,49.864623,10.488179,BsalGer6808 - 12861/12871,LivingSpecimen,Lissotriton,vulgaris,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,6,14,,,,Universities Trier and Braunschweig,,,,,"Ss, Ia, Lv, Tc",,,100,,,,,,,,mainly Ss,Bsal Consortium Germany,,,,,,,,,,,female,Thein et al. 2020; Böning et al. 2023,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Steigerwald,TRUE,2020,49.864623,10.488179,BsalGer6810 - 12782/12783,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,6,26,,,,Universities Trier and Braunschweig,,,,,"Ss, Ia, Lv, Tc",,,100,,,,,,,,mainly Ss,Bsal Consortium Germany,,,,,,,,,,,female,Thein et al. 2020; Böning et al. 2023,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Steigerwald,TRUE,2020,49.864623,10.488179,BsalGer6811 - 12802/12812,LivingSpecimen,Ichthyosaura,alpestris,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,7,1,,,,Universities Trier and Braunschweig,,,,,"Ss, Ia, Lv, Tc",,,100,,,,,,,,mainly Ss,Bsal Consortium Germany,,,,,,,,,,,not determined,Thein et al. 2020; Böning et al. 2023,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Steigerwald,TRUE,2020,49.864623,10.488179,BsalGer6813 - 12842/12852,LivingSpecimen,Ichthyosaura,alpestris,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,7,1,,,,Universities Trier and Braunschweig,,,,,"Ss, Ia, Lv, Tc",,,100,,,,,,,,mainly Ss,Bsal Consortium Germany,,,,,,,,,,,not determined,Thein et al. 2020; Böning et al. 2023,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Steigerwald,TRUE,2020,49.864623,10.488179,BsalGer6814 - 12891/12881,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,6,15,,,,Universities Trier and Braunschweig,,,,,"Ss, Ia, Lv, Tc",,,100,,,,,,,,mainly Ss,Bsal Consortium Germany,,,,,,,,,,,male,Thein et al. 2020; Böning et al. 2023,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Steigerwald,TRUE,2020,49.864623,10.488179,BsalGer6817 - 12791/12781,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,6,25,,,,Universities Trier and Braunschweig,,,,,"Ss, Ia, Lv, Tc",,,100,,,,,,,,mainly Ss,Bsal Consortium Germany,,,,,,,,,,,male,Thein et al. 2020; Böning et al. 2023,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Steigerwald,TRUE,2020,49.864623,10.488179,BsalGer6818 - 12701/12702,LivingSpecimen,Triturus,cristatus,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,6,28,,,,Universities Trier and Braunschweig,,,,,"Ss, Ia, Lv, Tc",,,100,,,,,,,,mainly Ss,Bsal Consortium Germany,,,,,,,,,,,male,Thein et al. 2020; Böning et al. 2023,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Steigerwald,TRUE,2020,49.864623,10.488179,BsalGer6819 - 12703/12704,LivingSpecimen,Triturus,cristatus,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,6,28,,,,Universities Trier and Braunschweig,,,,,"Ss, Ia, Lv, Tc",,,100,,,,,,,,mainly Ss,Bsal Consortium Germany,,,,,,,,,,,male,Thein et al. 2020; Böning et al. 2023,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Steigerwald,TRUE,2020,49.864623,10.488179,BsalGer6820 - 12705/12706,LivingSpecimen,Triturus,cristatus,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,6,28,,,,Universities Trier and Braunschweig,,,,,"Ss, Ia, Lv, Tc",,,100,,,,,,,,mainly Ss,Bsal Consortium Germany,,,,,,,,,,,female,Thein et al. 2020; Böning et al. 2023,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Steigerwald,TRUE,2020,49.864623,10.488179,BsalGer6821 - 12707/12708,LivingSpecimen,Lissotriton,vulgaris,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,6,28,,,,Universities Trier and Braunschweig,,,,,"Ss, Ia, Lv, Tc",,,100,,,,,,,,mainly Ss,Bsal Consortium Germany,,,,,,,,,,,male,Thein et al. 2020; Böning et al. 2023,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Steigerwald,TRUE,2020,49.864623,10.488179,BsalGer6802 - 12831/12821,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,TRUE,,,FALSE,6,10,,,,Universities Trier and Braunschweig,,,,,"Ss, Ia, Lv, Tc",,,100,,,,,,,,mainly Ss,Bsal Consortium Germany,,,,,,,,,,,male,Thein et al. 2020; Böning et al. 2023,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Steigerwald,TRUE,2020,49.864623,10.488179,BsalGer6806 - 8999/9000,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,TRUE,,,FALSE,7,20,,,,Universities Trier and Braunschweig,,,,,"Ss, Ia, Lv, Tc",,,100,,,,,,,,mainly Ss,Bsal Consortium Germany,,,,,,,,,,,not determined,Thein et al. 2020; Böning et al. 2023,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Steigerwald,TRUE,2020,49.864623,10.488179,BsalGer6812 - 12832/12822,LivingSpecimen,Ichthyosaura,alpestris,swabbing,quantitive PCR,Bsal,,TRUE,,,FALSE,7,1,,,,Universities Trier and Braunschweig,,,,,"Ss, Ia, Lv, Tc",,,100,,,,,,,,mainly Ss,Bsal Consortium Germany,,,,,,,,,,,female,Thein et al. 2020; Böning et al. 2023,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Steigerwald,TRUE,2020,49.864623,10.488179,BsalGer6815 - 12713/12714,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,FALSE,,,FALSE,6,29,,,,Universities Trier and Braunschweig,,,,,"Ss, Ia, Lv, Tc",,,100,,,,,,,,mainly Ss,Bsal Consortium Germany,,,,,,,,,,,female,Thein et al. 2020; Böning et al. 2023,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Steigerwald,TRUE,2020,49.864623,10.488179,BsalGer6614 - 8987/8988,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,TRUE,,,FALSE,5,8,,,,Universities Trier and Braunschweig,,,,,"Ss, Ia, Lv, Tc",,,100,,,,,,,,mainly Ss,Bsal Consortium Germany,,,,,,,,,,,not determined,Thein et al. 2020; Böning et al. 2023,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Steigerwald,TRUE,2020,49.864623,10.488179,BsalGer6803 - 12709/12710,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,TRUE,,,FALSE,6,28,,,,Universities Trier and Braunschweig,,,,,"Ss, Ia, Lv, Tc",,,100,,,,,,,,mainly Ss,Bsal Consortium Germany,,,,,,,,,,,female,Thein et al. 2020; Böning et al. 2023,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Steigerwald,TRUE,2020,49.864623,10.488179,BsalGer6805 - 8989/8990,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,TRUE,,,FALSE,6,28,,,,Universities Trier and Braunschweig,,,,,"Ss, Ia, Lv, Tc",,,100,,,,,,,,mainly Ss,Bsal Consortium Germany,,,,,,,,,,,not determined,Thein et al. 2020; Böning et al. 2023,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Steigerwald,TRUE,2020,49.864623,10.488179,BsalGer6809 - 12792/12793,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,TRUE,,,FALSE,6,26,,,,Universities Trier and Braunschweig,,,,,"Ss, Ia, Lv, Tc",,,100,,,,,,,,mainly Ss,Bsal Consortium Germany,,,,,,,,,,,male,Thein et al. 2020; Böning et al. 2023,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bsal Consortium Germany,Germany,Steigerwald,TRUE,2020,49.864623,10.488179,BsalGer6816 - 12715/12716,LivingSpecimen,Salamandra,salamandra,swabbing,quantitive PCR,Bsal,,TRUE,,,FALSE,6,30,,,,Universities Trier and Braunschweig,,,,,"Ss, Ia, Lv, Tc",,,100,,,,,,,,mainly Ss,Bsal Consortium Germany,,,,,,,,,,,male,Thein et al. 2020; Böning et al. 2023,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
