"country","ADM0","ADM1","ADM2","decimalLatitude","decimalLongitude","locationRemarks","coordinateUncertaintyInMeters","Elevation","soilMoisture","materialSampleID","yearCollected","monthCollected","dayCollected","genus","species","scientific","susceptibility","nativeStatus","lifeStage","sex","occurrenceRemarks","individualCount","specimenDisposition","diagnosticLab","sampleType","testMethod","diseaseTested","BdDetected","BsalDetected","BdLoad","BsalLoad","fatal","basisOfRecord","eventRemarks","tmin","tmax","prec","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","collectorList","principalInvestigator","Sample_bcid","expeditionCode","projectId"
"Belgium",NA,NA,NA,50.155227,5.261291,NA,NA,NA,NA,"2017_BEL_22",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,35,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.936207,4.839672,NA,NA,NA,NA,"2017_BEL_23",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.936207,4.839672,NA,NA,NA,NA,"2016_BEL_04",2016,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.936207,4.839672,NA,NA,NA,NA,"2015_BEL_04",2015,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Spitzen-van der Sluijs et al. 2016","",NA
"Belgium",NA,NA,NA,50.760972,3.495953,NA,NA,NA,NA,"2017_BEL_24",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.760972,3.495953,NA,NA,NA,NA,"2016_BEL_05",2016,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.760972,3.495953,NA,NA,NA,NA,"2015_BEL_05",2015,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Spitzen-van der Sluijs et al. 2016","",NA
"Belgium",NA,NA,NA,50.584708,5.584746,NA,NA,NA,NA,"2014_BEL_01",2014,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,"Bsal",NA,TRUE,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Spitzen-van der Sluijs et al. 2016","",NA
"Belgium",NA,NA,NA,50.651058,5.657861,NA,NA,NA,NA,"2017_BEL_25",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,21,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.492301,4.95521,NA,NA,NA,NA,"2017_BEL_26",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.492301,4.95521,NA,NA,NA,NA,"2017_BEL_27",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,14,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,49.825593,5.729159,NA,NA,NA,NA,"2017_BEL_28",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,15,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.957724,3.724506,NA,NA,NA,NA,"2017_BEL_29",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.957724,3.724506,NA,NA,NA,NA,"2016_BEL_06",2016,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.957724,3.724506,NA,NA,NA,NA,"2015_BEL_06",2015,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Spitzen-van der Sluijs et al. 2016","",NA
"Belgium",NA,NA,NA,50.46889,5.74459,NA,NA,NA,NA,"2019_BEL_01",2019,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,12,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.46889,5.74459,NA,NA,NA,NA,"2018_BEL_01",2018,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,12,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.46889,5.74459,NA,NA,NA,NA,"2017_BEL_30",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,33,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.46889,5.74459,NA,NA,NA,NA,"2017_BEL_31",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,17,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.582561,5.769036971,NA,NA,NA,NA,"2020_BEL_01",2020,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Bsal",NA,TRUE,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","mortality event with > 50 dead salamanders",NA
"Belgium",NA,NA,NA,50.64458,3.954857,NA,NA,NA,NA,"BEL_02",NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.67638,4.59534,NA,NA,NA,NA,"2017_BEL_32",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,19,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
"Belgium",NA,NA,NA,50.977754,3.906544,NA,NA,NA,NA,"2017_BEL_33",2017,NA,NA,"Salamandra","salamandra","Salamandra salamandra",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,"Bsal",NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wouter Beukema","Unpublished","",NA
