principalInvestigator,country,locality,yearCollected,decimalLatitude,decimalLongitude,materialSampleID,basisOfRecord,genus,specificEpithet,sampleType,testMethod,diseaseTested,BdDetected,BsalDetected,BdLoad,BsalLoad,fatal,monthCollected,dayCollected,quantityDetected,dilutionFactor,cycleTimeFirstDetection,diagnosticLab,continentOcean,stateProvince,municipality,county,locationRemarks,verbatimEventDate,horizontalDatum,coordinateUncertaintyInMeters,georeferenceProtocol,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,locationID,habitat,eventRemarks,collectorList,occurrenceID,institutionCode,collectionCode,catalogNumber,otherCatalogNumbers,fieldNumber,infraspecificEpithet,taxonRemarks,lifeStage,establishmentMeans,sex,associatedReferences,occurrenceRemarks,individualCount,weightUnits,weight,lengthUnits,length,organismRemarks,diseaseLineage,geFALSEtypeMethod,diseaseTestedPositiveCount,specimenDisposition,zeScore,measurementRemarks,tissueID,tissueType,tissuePlate,tissueWell,tissueCatalogNumber,tissueBarcode,tissueInstitution,tissueOtherCatalogNumbers,tissueSamplingYear,tissueSamplingMonth,tissueSamplingDay,tissueRecordedBy,tissueContainer,tissuePreservative,associatedSequences,tissueRemarks,fromTissue,tissueBlocked,biosampleAccession,DiagFALSEstics_bcid,Sample_bcid,expeditionCode,projectId
Bsal Consortium Germany,Germany,Reichertshausen,2018,49.314267,9.299841,BsalGer1177_6185_6186,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,10,28,,,,Universities Trier and Braunschweig,,,,,,10/28/2018,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu227d6256b47e2343057f56294ef252c08,https://n2t.net/ark:/21547/Dgt2BsalGer1177_6185_6186,2014-2020,354
Bsal Consortium Germany,Germany,Reichertshausen,2018,49.314267,9.299841,BsalGer1179_6189_6190,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,10,28,,,,Universities Trier and Braunschweig,,,,,,10/28/2018,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu22deaa659cc12962c9bd85c66d15088cf,https://n2t.net/ark:/21547/Dgt2BsalGer1179_6189_6190,2014-2020,354
Bsal Consortium Germany,Germany,Reichertshausen,2018,49.314267,9.299841,BsalGer1176_6183_6184,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,10,28,,,,Universities Trier and Braunschweig,,,,,,10/28/2018,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu2f9bbdb9d832c5b31c1837f1845cf24cc,https://n2t.net/ark:/21547/Dgt2BsalGer1176_6183_6184,2014-2020,354
Bsal Consortium Germany,Germany,Schnee-Eifel (Schwarzer Mann),2019,50.266289,6.359245,BsalGer6096_SCHNEE_2019_7,LivingSpecimen,Lissotriton,helveticus,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,5,16,,,,Universities Trier and Braunschweig,,,,,,5/16/2019,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,female,,female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu2f0d14d5d0a63497cbe0fdf6656b7853b,https://n2t.net/ark:/21547/Dgt2BsalGer6096_SCHNEE_2019_7,2014-2020,354
Bsal Consortium Germany,Germany,Schellenberger Wald,2017,51.413459,7.043988,BsalGer4449_4201_4202,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,9,8,,,,Universities Trier and Braunschweig,,,,,,9/8/2017,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu20109f94d6a993618bead87e62826d143,https://n2t.net/ark:/21547/Dgt2BsalGer4449_4201_4202,2014-2020,354
Bsal Consortium Germany,Germany,Schellenberger Wald,2017,51.413459,7.043988,BsalGer4457_4217_4218,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,9,8,,,,Universities Trier and Braunschweig,,,,,,9/8/2017,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu2063b847151d95179cd2b37053161cd10,https://n2t.net/ark:/21547/Dgt2BsalGer4457_4217_4218,2014-2020,354
Bsal Consortium Germany,Germany,Schellenberger Wald,2017,51.413459,7.043988,BsalGer4456_4215_4216,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,9,8,,,,Universities Trier and Braunschweig,,,,,,9/8/2017,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu29785616df74381e395b01222daf604ca,https://n2t.net/ark:/21547/Dgt2BsalGer4456_4215_4216,2014-2020,354
Bsal Consortium Germany,Germany,Schellenberger Wald,2017,51.413459,7.043988,BsalGer4455_4213_4214,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,9,8,,,,Universities Trier and Braunschweig,,,,,,9/8/2017,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu2e7daa097fe08faa8560c209fba5478dc,https://n2t.net/ark:/21547/Dgt2BsalGer4455_4213_4214,2014-2020,354
Bsal Consortium Germany,Germany,Schellenberger Wald,2017,51.413459,7.043988,BsalGer4454_4211_4212,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,9,8,,,,Universities Trier and Braunschweig,,,,,,9/8/2017,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu2866444f09048cd7b69532a3aeaa756f6,https://n2t.net/ark:/21547/Dgt2BsalGer4454_4211_4212,2014-2020,354
Bsal Consortium Germany,Germany,Schellenberger Wald,2017,51.413459,7.043988,BsalGer4453_4209_4210,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,9,8,,,,Universities Trier and Braunschweig,,,,,,9/8/2017,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu247afa85b76a1d6d1144158c0ee0ea485,https://n2t.net/ark:/21547/Dgt2BsalGer4453_4209_4210,2014-2020,354
Bsal Consortium Germany,Germany,Schellenberger Wald,2017,51.413459,7.043988,BsalGer4452_4207_4208,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,9,8,,,,Universities Trier and Braunschweig,,,,,,9/8/2017,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu2811298c4f870e99a78881ff0b61d2a52,https://n2t.net/ark:/21547/Dgt2BsalGer4452_4207_4208,2014-2020,354
Bsal Consortium Germany,Germany,Schellenberger Wald,2017,51.413459,7.043988,BsalGer4460_4223_4224,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,9,8,,,,Universities Trier and Braunschweig,,,,,,9/8/2017,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu2fdb27e579121e59c55e0e74e83458f7b,https://n2t.net/ark:/21547/Dgt2BsalGer4460_4223_4224,2014-2020,354
Bsal Consortium Germany,Germany,Schellenberger Wald,2017,51.413459,7.043988,BsalGer4451_4205_4206,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,9,8,,,,Universities Trier and Braunschweig,,,,,,9/8/2017,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu2c1b9fb77ff8c653113acca95056dc54a,https://n2t.net/ark:/21547/Dgt2BsalGer4451_4205_4206,2014-2020,354
Bsal Consortium Germany,Germany,Schellenberger Wald,2017,51.413459,7.043988,BsalGer4450_4203_4204,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,9,8,,,,Universities Trier and Braunschweig,,,,,,9/8/2017,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu21b60f5435c6bb5a5743600e1e2aab956,https://n2t.net/ark:/21547/Dgt2BsalGer4450_4203_4204,2014-2020,354
Bsal Consortium Germany,Germany,Schellenberger Wald,2017,51.413459,7.043988,BsalGer4459_4221_4222,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,9,8,,,,Universities Trier and Braunschweig,,,,,,9/8/2017,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu26c2ace05d39cc492d5fa4de3185accfe,https://n2t.net/ark:/21547/Dgt2BsalGer4459_4221_4222,2014-2020,354
Bsal Consortium Germany,Germany,Schellenberger Wald,2017,51.413459,7.043988,BsalGer4458_4219_4220,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,9,8,,,,Universities Trier and Braunschweig,,,,,,9/8/2017,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu21cab59839be2ba14eac320235157501c,https://n2t.net/ark:/21547/Dgt2BsalGer4458_4219_4220,2014-2020,354
Bsal Consortium Germany,Germany,Krukeler Wald,2020,51.439667,7.423111,BsalGer4894_8305_8306,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,TRUE,NA,NA,TRUE,2,2,,,,Universities Trier and Braunschweig,,,,,,2/2/2020,,100,,,,,,,,dead specimen found in the wild,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu299da79f5e71e2c493dad1292b1c27e98,https://n2t.net/ark:/21547/Dgt2BsalGer4894_8305_8306,2014-2020,354
Bsal Consortium Germany,Germany,Stiepel,2019,51.418056,7.250944,BsalGer3836_7743_7744,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,5,10,,,,Universities Trier and Braunschweig,,,,,,5/10/2019,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,male,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu20c13a6106943342bf42d23867407a93a,https://n2t.net/ark:/21547/Dgt2BsalGer3836_7743_7744,2014-2020,354
Bsal Consortium Germany,Germany,Stiepel,2019,51.418056,7.250944,BsalGer3838_7738_7739,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,5,10,,,,Universities Trier and Braunschweig,,,,,,5/10/2019,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,male,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu2b03b7c5ec3263e2f82096789f455100f,https://n2t.net/ark:/21547/Dgt2BsalGer3838_7738_7739,2014-2020,354
Bsal Consortium Germany,Germany,Stiepel,2019,51.418056,7.250944,BsalGer3837_7740_7741,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,5,10,,,,Universities Trier and Braunschweig,,,,,,5/10/2019,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,female,,female,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu2a929fbdd291b6af9067eff65f0d62edb,https://n2t.net/ark:/21547/Dgt2BsalGer3837_7740_7741,2014-2020,354
Bsal Consortium Germany,Germany,Stiepel,2019,51.418056,7.250944,BsalGer3839_7736,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,5,10,,,,Universities Trier and Braunschweig,,,,,,5/10/2019,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,male,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu22d9c8937557b68d5133235563acda528,https://n2t.net/ark:/21547/Dgt2BsalGer3839_7736,2014-2020,354
Bsal Consortium Germany,Germany,Leylechsloch,2017,50.562297,6.279368,BsalGer3370_LL2,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,5,5,,,,Universities Trier and Braunschweig,,,,,,5/5/2017,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,,,M Totfund,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu2a07ccac08119425bc8475dedee7a1e37,https://n2t.net/ark:/21547/Dgt2BsalGer3370_LL2,2014-2020,354
Bsal Consortium Germany,Germany,Botanischer Garten Bochum,2018,51.437,7.257333,BsalGer3737_5167_5168,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,5,17,,,,Universities Trier and Braunschweig,,,,,,5/17/2018,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,female,,female,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu2c362e1b86325b39de95f8813152abb6d,https://n2t.net/ark:/21547/Dgt2BsalGer3737_5167_5168,2014-2020,354
Bsal Consortium Germany,Germany,Botanischer Garten Bochum,2018,51.437,7.257333,BsalGer3739_5171_5172,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,5,17,,,,Universities Trier and Braunschweig,,,,,,5/17/2018,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,male,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu2d57dc101a5d61b0b210ee85d574486ab,https://n2t.net/ark:/21547/Dgt2BsalGer3739_5171_5172,2014-2020,354
Bsal Consortium Germany,Germany,Botanischer Garten Bochum,2018,51.437,7.257333,BsalGer3738_5169_5170,LivingSpecimen,Salamandra,salamandra,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,5,17,,,,Universities Trier and Braunschweig,,,,,,5/17/2018,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,not determined,,not determined,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu2b584b8f1d0c775f11e03d0355334eb99,https://n2t.net/ark:/21547/Dgt2BsalGer3738_5169_5170,2014-2020,354
Bsal Consortium Germany,Germany,Omerbach,2018,50.75414,6.307838,BsalGer1033_Obunk_2018_009,LivingSpecimen,Lissotriton,helveticus,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,6,21,,,,Universities Trier and Braunschweig,,,,,,6/21/2018,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,female,,female,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu294521aa7996897f9500e3d7cdee8baee,https://n2t.net/ark:/21547/Dgt2BsalGer1033_Obunk_2018_009,2014-2020,354
Bsal Consortium Germany,Germany,Omerbach,2018,50.75414,6.307838,BsalGer1034_Obunk_2018_010,LivingSpecimen,Lissotriton,helveticus,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,6,21,,,,Universities Trier and Braunschweig,,,,,,6/21/2018,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,female,,female,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu20ffa7de1706b810cf146f746c97b96a9,https://n2t.net/ark:/21547/Dgt2BsalGer1034_Obunk_2018_010,2014-2020,354
Bsal Consortium Germany,Germany,Omerbach,2018,50.75414,6.307838,BsalGer1035_Obunk_2018_011,LivingSpecimen,Lissotriton,helveticus,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,6,21,,,,Universities Trier and Braunschweig,,,,,,6/21/2018,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,female,,female,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu2f48c54a19d2b63a3e24575db2de73f83,https://n2t.net/ark:/21547/Dgt2BsalGer1035_Obunk_2018_011,2014-2020,354
Bsal Consortium Germany,Germany,Omerbach,2018,50.75414,6.307838,BsalGer1036_Obunk_2018_012,LivingSpecimen,Lissotriton,helveticus,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,6,21,,,,Universities Trier and Braunschweig,,,,,,6/21/2018,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,male,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu2e20aa0229fbd46aa5158c1cb4c880be6,https://n2t.net/ark:/21547/Dgt2BsalGer1036_Obunk_2018_012,2014-2020,354
Bsal Consortium Germany,Germany,Omerbach,2018,50.75414,6.307838,BsalGer1037_Obunk_2018_013,LivingSpecimen,Lissotriton,helveticus,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,6,21,,,,Universities Trier and Braunschweig,,,,,,6/21/2018,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,female,,female,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu2673f2ffff4dcda3e74be711f0f81545c,https://n2t.net/ark:/21547/Dgt2BsalGer1037_Obunk_2018_013,2014-2020,354
Bsal Consortium Germany,Germany,Omerbach,2018,50.75414,6.307838,BsalGer1044_Obunk_2018_020,LivingSpecimen,Lissotriton,helveticus,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,6,21,,,,Universities Trier and Braunschweig,,,,,,6/21/2018,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,male,,male,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu2a0561c38b79a512c2176e6e6882ed8cf,https://n2t.net/ark:/21547/Dgt2BsalGer1044_Obunk_2018_020,2014-2020,354
Bsal Consortium Germany,Germany,Omerbach,2018,50.75414,6.307838,BsalGer1043_Obunk_2018_019,LivingSpecimen,Lissotriton,helveticus,swabbing,quantitative PCR,Bsal,NA,FALSE,NA,NA,FALSE,6,21,,,,Universities Trier and Braunschweig,,,,,,6/21/2018,,100,,,,,,,,,Bsal Consortium Germany,,,,,,,,,,,female,,female,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dgu273f4741b4333b9a048021a5734543b89,https://n2t.net/ark:/21547/Dgt2BsalGer1043_Obunk_2018_019,2014-2020,354
