dataStatus,principalInvestigator,country,locality,Bsal_area,yearCollected,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,collectorList,materialSampleID,genus,specificEpithet,sampleType,diseaseTested,diseaseDetected,basisOfRecord,fatal,quantityDetected,monthCollected,dayCollected,dilutionFactor,cycleTimeFirstDetection,continentOcean,stateProvince,municipality,county,locationRemarks,verbatimEventDate,horizontalDatum,georeferenceProtocol,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,locationID,habitat,eventRemarks,occurrenceID,institutionCode,collectionCode,catalogNumber,otherCatalogNumbers,fieldNumber,infraspecificEpithet,taxonRemarks,lifeStage,establishmentMeans,sex,associatedReferences,occurrenceRemarks,individualCount,weightUnits,weight,lengthUnits,length,diseaseLineage,genotypeMethod,testMethod,diseaseTestedPositiveCount,specimenDisposition,zeScore,diagnosticLab,
,Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2015,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer2317 - 58a,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2015,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer2318 - 59a,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2015,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer2319 - 60a,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2015,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer2320 - 61a,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer2606 - 26a und b,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer2607 - 27,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer2608 - 28,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer2609 - 29,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer2610 - 30,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer2611 - 31,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer2612 - 32,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer2613 - 33,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer2614 - 34,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer2615 - 35,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer2616 - 36,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer2617 - 37,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer2618 - 38,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer2619 - 39,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer2620 - 40,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Ernzen (Gutenbach),,2016,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer2621 - 41,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Gutenbach,,2017,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer3430 - 208,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Gutenbach,,2017,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer3431 - 209,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Gutenbach,,2017,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer3432 - 210,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Gutenbach,,2017,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer3433 - 211,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Gutenbach,,2017,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer3434 - 212,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Gutenbach,,2017,49.828069,6.403899,100,Bsal Consortium Germany,BsalGer3435 - 213,Salamandra,salamandra,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2017,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer1695 - M095,Ichthyosaura,alpestris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2017,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer1696 - M096,Ichthyosaura,alpestris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2017,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer1697 - M097,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2017,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer1698 - M098,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2017,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer1700 - M100,Ichthyosaura,alpestris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2017,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer1701 - M101,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2017,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer1702 - M102,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2017,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer1703 - M103,Ichthyosaura,alpestris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2017,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer1705 - M105,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2017,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer1706 - M106,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2018,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer1707 - WEI-2018-001,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2018,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer1708 - WEI-2018-002,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2018,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer1709 - WEI-2018-003,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2018,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer1710 - WEI-2018-004,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,1,,,,,,,quantitive PCR,,,0,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2015,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer2335 - 14a,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2015,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer2336 - 15a,Ichthyosaura,alpestris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2015,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer2337 - 16a,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2015,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer2338 - 17a,Ichthyosaura,alpestris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2015,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer2339 - 18a,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2015,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer2340 - 19a,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2015,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer2341 - 20a,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2015,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer2342 - 21a,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2015,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer2343 - 22a,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2015,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer2344 - 23a,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,not determined,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2019,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer6336 - WEI-2019-01,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2019,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer6337 - WEI-2019-02,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2019,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer6338 - WEI-2019-03,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2019,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer6339 - WEI-2019-04,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2019,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer6340 - WEI-2019-05,Lissotriton,helveticus,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2019,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer6341 - WEI-2019-06,Ichthyosaura,alpestris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2019,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer6342 - WEI-2019-07,Ichthyosaura,alpestris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
,Bsal Consortium Germany,Germany,Weilerbach,,2019,49.845261,6.389539,100,Bsal Consortium Germany,BsalGer6343 - WEI-2019-08,Ichthyosaura,alpestris,swabbing,Bsal,FALSE,LivingSpecimen,FALSE,,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,1,,,,,,,quantitive PCR,,,,Universities Trier and Braunschweig,
